Name,Setup,Sets,Reps,Weight,Rest_time,Increment,Reps_limit  
Wide grip pull ups,-,3,-,0,3.5,2.5,10		
Mid back smith row,-,3,6/6/6,50,3,2.5,10
Single arm machine row,74,2,-,60,3,2.5,10
Ez bar cable curls,-,3,-,21.75,3.5,2.5,10
Hamstringn curls,0L,3,-,45,3,2.5,10
